,County,Total Owner-Occupied Units,Mort=Y,Mort=N,Mort/Income <10%,Mort/Income 10-14.9%,Mort/Income 15-19.9%,Mort/Income 20-24.9%,Mort/Income 25-29.9%,Mort/Income 30-34.9%,Mort/Income 35-39.9%,Mort/Income 40-49.9%,Mort/Income >=50%,GEO_ID
206,"Kankakee County, Illinois",28442,15811,1386,3582,3806,2189,1479,1071,411,391,1455,41,0500000US17091
207,"Kendall County, Illinois",36743,28132,1427,3941,5219,5957,4144,2536,1177,1118,2246,367,0500000US17093
208,"Lake County, Illinois",192177,120990,9978,20938,25812,19154,13482,9177,5078,5534,11110,727,0500000US17097
209,"LaSalle County, Illinois",33768,18625,2254,4066,5112,1969,1067,1051,66,1128,1814,98,0500000US17099
210,"McHenry County, Illinois",98837,68763,5544,12036,14871,12304,6848,4662,3243,2884,6110,261,0500000US17111
211,"McLean County, Illinois",44323,28278,2373,6562,6737,4260,2708,1930,1084,599,1706,319,0500000US17113
212,"Macon County, Illinois",31902,18126,1539,4546,4293,2977,962,1111,403,1015,1216,64,0500000US17115
213,"Madison County, Illinois",78343,46055,5280,9492,11998,5687,4737,1322,2263,1443,3679,154,0500000US17119
214,"Peoria County, Illinois",52691,31644,2956,6440,8901,4652,1832,2034,1069,1057,2352,351,0500000US17143
215,"Rock Island County, Illinois",43573,26335,2852,5608,5078,3909,1769,1759,721,1308,3183,148,0500000US17161
216,"St. Clair County, Illinois",70592,45828,3754,9957,10044,5841,4668,2543,1690,2822,4509,0,0500000US17163
217,"Sangamon County, Illinois",60765,35235,3280,7141,8245,4579,3658,1300,1301,1226,3709,796,0500000US17167
218,"Tazewell County, Illinois",43777,26203,2677,5547,6280,3245,2003,1342,1837,519,2712,41,0500000US17179
219,"Vermilion County, Illinois",20210,8880,1414,1889,2278,883,441,245,584,217,836,93,0500000US17183
220,"Will County, Illinois",202257,134628,7558,24027,26892,21358,16184,11036,5483,7981,13644,465,0500000US17197
221,"Williamson County, Illinois",20426,12236,1575,3066,2383,2015,911,349,487,651,724,75,0500000US17199
222,"Winnebago County, Illinois",77337,48854,4307,11758,10301,6773,4238,2567,1229,2539,5024,118,0500000US17201
223,"Allen County, Indiana",108411,70385,9761,16836,14744,10266,7189,3174,2000,1688,4292,435,0500000US18003
224,"Bartholomew County, Indiana",24409,14780,2240,3268,3383,2315,631,717,397,423,1406,0,0500000US18005
225,"Boone County, Indiana",23525,16101,2828,3714,4151,1321,962,922,397,171,1481,154,0500000US18011
226,"Clark County, Indiana",39378,26386,3880,5849,4573,4662,2006,1748,1130,916,1622,0,0500000US18019
227,"Delaware County, Indiana",31433,17698,2459,5062,3812,1430,1408,880,498,617,1357,175,0500000US18035
228,"Elkhart County, Indiana",50909,32106,5489,7078,5883,3984,3102,1067,1455,1340,2361,347,0500000US18039
229,"Floyd County, Indiana",24559,17360,2411,3846,4171,2797,1403,532,577,513,1008,102,0500000US18043
230,"Grant County, Indiana",20511,12368,1452,2130,2803,2190,510,749,532,554,1439,9,0500000US18053
231,"Hamilton County, Indiana",101881,74929,11099,20510,15627,10275,4660,3072,2258,3141,4232,55,0500000US18057
232,"Hancock County, Indiana",27363,19438,2700,4153,4402,2402,1011,1947,718,857,1171,77,0500000US18059
233,"Hendricks County, Indiana",51999,38071,4705,9400,9944,4495,3105,1121,1442,1331,2528,0,0500000US18063
234,"Howard County, Indiana",26564,16279,1353,4098,3323,2567,1430,895,560,761,1234,58,0500000US18067
