,County,Total Population,Est. Pop Below Poverty Level,2022 Poverty Rate,GEO_ID
245,"Tippecanoe County, Indiana",172601,34014,19.70672244077381,0500000US18157
246,"Vanderburgh County, Indiana",173974,27116,15.586237023923116,0500000US18163
247,"Vigo County, Indiana",98120,17956,18.30004076640848,0500000US18167
248,"Warrick County, Indiana",63964,4994,7.80751672815959,0500000US18173
249,"Wayne County, Indiana",64886,11930,18.386092531516816,0500000US18177
250,"Black Hawk County, Iowa",125028,21988,17.58646063281825,0500000US19013
251,"Dallas County, Iowa",107264,5910,5.509770286396182,0500000US19049
252,"Dubuque County, Iowa",94773,10404,10.97781013579817,0500000US19061
253,"Johnson County, Iowa",147959,23875,16.13622692772998,0500000US19103
254,"Linn County, Iowa",224009,19669,8.780450785459513,0500000US19113
255,"Polk County, Iowa",492908,50087,10.161531157944282,0500000US19153
256,"Pottawattamie County, Iowa",89888,10727,11.93373976504094,0500000US19155
257,"Scott County, Iowa",170484,19375,11.364702846014875,0500000US19163
258,"Story County, Iowa",86770,15755,18.15719718796819,0500000US19169
259,"Woodbury County, Iowa",103169,12994,12.594868613633942,0500000US19193
260,"Butler County, Kansas",65489,3544,5.4115958405228355,0500000US20015
261,"Douglas County, Kansas",112028,18330,16.361980933338096,0500000US20045
262,"Johnson County, Kansas",613260,33092,5.396079966082901,0500000US20091
263,"Leavenworth County, Kansas",79314,8335,10.50886350455153,0500000US20103
264,"Riley County, Kansas",60940,13851,22.728913685592385,0500000US20161
265,"Sedgwick County, Kansas",516525,82771,16.024587386864138,0500000US20173
266,"Shawnee County, Kansas",173050,24226,13.999422132331695,0500000US20177
267,"Wyandotte County, Kansas",163779,24019,14.665494355198163,0500000US20209
268,"Boone County, Kentucky",137860,10050,7.290004352241404,0500000US21015
269,"Bullitt County, Kentucky",83579,8102,9.69382261094294,0500000US21029
270,"Campbell County, Kentucky",90567,7797,8.6090960283547,0500000US21037
271,"Christian County, Kentucky",68993,11805,17.11043149305002,0500000US21047
272,"Daviess County, Kentucky",100656,12264,12.18407248450167,0500000US21059
273,"Fayette County, Kentucky",308447,45248,14.669619091772654,0500000US21067
274,"Hardin County, Kentucky",107113,13533,12.634320764052918,0500000US21093
275,"Jefferson County, Kentucky",760566,112114,14.740864040727564,0500000US21111
276,"Kenton County, Kentucky",168910,17568,10.40080516251258,0500000US21117
277,"McCracken County, Kentucky",65982,9125,13.829529265557273,0500000US21145
278,"Madison County, Kentucky",89336,13723,15.361108623623176,0500000US21151
279,"Oldham County, Kentucky",65172,1819,2.791075922175167,0500000US21185
280,"Pulaski County, Kentucky",64609,11697,18.104288876162762,0500000US21199
281,"Warren County, Kentucky",134783,26221,19.45423384254691,0500000US21227
282,"Ascension Parish, Louisiana",129450,12764,9.860177674777907,0500000US22005
283,"Bossier Parish, Louisiana",126127,15907,12.61189118903962,0500000US22015
284,"Caddo Parish, Louisiana",223838,50010,22.34205094756029,0500000US22017
285,"Calcasieu Parish, Louisiana",199390,32737,16.41857665880937,0500000US22019
286,"East Baton Rouge Parish, Louisiana",435486,80058,18.383599013515934,0500000US22033
287,"Iberia Parish, Louisiana",67458,15408,22.84087876901183,0500000US22045
288,"Jefferson Parish, Louisiana",422860,59660,14.108688454807739,0500000US22051
289,"Lafayette Parish, Louisiana",245310,43171,17.598548775019363,0500000US22055
290,"Lafourche Parish, Louisiana",93266,16642,17.843587159307788,0500000US22057
291,"Livingston Parish, Louisiana",146780,21813,14.861016487259846,0500000US22063
292,"Orleans Parish, Louisiana",357172,79455,22.24558476028356,0500000US22071
293,"Ouachita Parish, Louisiana",152941,36747,24.026912338745007,0500000US22073
294,"Rapides Parish, Louisiana",124392,22932,18.435269149141423,0500000US22079
295,"St. Landry Parish, Louisiana",80733,24088,29.836621951370567,0500000US22097
296,"St. Tammany Parish, Louisiana",270026,28793,10.663047262115501,0500000US22103
297,"Tangipahoa Parish, Louisiana",133582,25850,19.351409621056728,0500000US22105
298,"Terrebonne Parish, Louisiana",103670,14792,14.26835149995177,0500000US22109
299,"Androscoggin County, Maine",108675,13798,12.696572348746264,0500000US23001
300,"Aroostook County, Maine",65721,10226,15.559714550904582,0500000US23003
301,"Cumberland County, Maine",298861,18422,6.164069584187967,0500000US23005
302,"Kennebec County, Maine",122286,15522,12.693194642068592,0500000US23011
303,"Penobscot County, Maine",147812,22358,15.125970827808297,0500000US23019
304,"York County, Maine",213723,17770,8.314500545098094,0500000US23031
305,"Allegany County, Maryland",61228,11585,18.921081857973476,0500000US24001
306,"Anne Arundel County, Maryland",584077,36384,6.2293156552988735,0500000US24003
307,"Baltimore County, Maryland",826088,93881,11.364527750070211,0500000US24005
308,"Calvert County, Maryland",94173,3251,3.4521572000467224,0500000US24009
309,"Carroll County, Maryland",171381,9225,5.382743711379908,0500000US24013
310,"Cecil County, Maryland",102765,9720,9.458473215588965,0500000US24015
311,"Charles County, Maryland",169078,14362,8.494304403884598,0500000US24017
312,"Frederick County, Maryland",283061,14517,5.128576525907843,0500000US24021
313,"Harford County, Maryland",262485,19563,7.452997314132236,0500000US24025
314,"Howard County, Maryland",332598,17714,5.3259490435901595,0500000US24027
315,"Montgomery County, Maryland",1044068,82410,7.893164046786224,0500000US24031
316,"Prince George's County, Maryland",925327,100631,10.875182503050274,0500000US24033
317,"St. Mary's County, Maryland",112200,9144,8.149732620320856,0500000US24037
318,"Washington County, Maryland",148261,17212,11.609256648747817,0500000US24043
319,"Wicomico County, Maryland",101564,10766,10.600212673782048,0500000US24045
320,"Baltimore city, Maryland",552123,102322,18.53246468631084,0500000US24510
321,"Barnstable County, Massachusetts",229118,15801,6.896446372611492,0500000US25001
322,"Berkshire County, Massachusetts",122768,14579,11.875244363352014,0500000US25003
323,"Bristol County, Massachusetts",567218,65011,11.461378165008867,0500000US25005
324,"Essex County, Massachusetts",790349,77078,9.7524005217948,0500000US25009
325,"Franklin County, Massachusetts",69809,10677,15.294589522840896,0500000US25011
326,"Hampden County, Massachusetts",449419,76806,17.090065173034517,0500000US25013
327,"Hampshire County, Massachusetts",140559,16402,11.66912115197177,0500000US25015
328,"Middlesex County, Massachusetts",1563563,127797,8.173447440237458,0500000US25017
329,"Norfolk County, Massachusetts",709846,46042,6.48619559735492,0500000US25021
330,"Plymouth County, Massachusetts",523987,39306,7.501331139894692,0500000US25023
331,"Suffolk County, Massachusetts",724123,118711,16.393761833279704,0500000US25025
332,"Worcester County, Massachusetts",837973,89192,10.643779692185786,0500000US25027
333,"Allegan County, Michigan",120317,11964,9.943731974700167,0500000US26005
334,"Bay County, Michigan",101884,15667,15.377291822072161,0500000US26017
335,"Berrien County, Michigan",150364,22475,14.94706179670666,0500000US26021
336,"Calhoun County, Michigan",130254,17196,13.201897830392925,0500000US26025
337,"Clinton County, Michigan",78989,9090,11.507931484130701,0500000US26037
338,"Eaton County, Michigan",107035,9548,8.920446582893446,0500000US26045
339,"Genesee County, Michigan",396818,64988,16.37728127252292,0500000US26049
340,"Grand Traverse County, Michigan",94798,10867,11.46332201101289,0500000US26055
341,"Ingham County, Michigan",264575,43585,16.47358971936124,0500000US26065
342,"Ionia County, Michigan",63711,7334,11.511355966787525,0500000US26067
343,"Jackson County, Michigan",151650,19354,12.76228156940323,0500000US26075
344,"Kalamazoo County, Michigan",254182,29903,11.764405032614427,0500000US26077
345,"Kent County, Michigan",649069,68777,10.596254019218296,0500000US26081
346,"Lapeer County, Michigan",87363,9280,10.622345844350583,0500000US26087
347,"Lenawee County, Michigan",93914,11327,12.061034563536852,0500000US26091
348,"Livingston County, Michigan",194785,9008,4.62458608209051,0500000US26093
349,"Macomb County, Michigan",866644,83857,9.676060758512147,0500000US26099
350,"Marquette County, Michigan",62397,7041,11.284196355594018,0500000US26103
351,"Midland County, Michigan",82604,6389,7.7344922764030795,0500000US26111
352,"Monroe County, Michigan",153956,14404,9.355919873210528,0500000US26115
353,"Montcalm County, Michigan",65333,9247,14.153643641038984,0500000US26117
354,"Muskegon County, Michigan",170507,24407,14.314368325054103,0500000US26121
355,"Oakland County, Michigan",1258178,102156,8.119359899791604,0500000US26125
356,"Ottawa County, Michigan",290383,24870,8.564550955117896,0500000US26139
357,"Saginaw County, Michigan",182950,33598,18.364580486471713,0500000US26145
358,"St. Clair County, Michigan",158233,21738,13.737968691739397,0500000US26147
359,"Shiawassee County, Michigan",67240,8559,12.72903033908388,0500000US26155
360,"Van Buren County, Michigan",75191,11212,14.911359072229388,0500000US26159
361,"Washtenaw County, Michigan",348380,48330,13.872782593719501,0500000US26161
362,"Wayne County, Michigan",1737658,369068,21.23939233151748,0500000US26163
363,"Anoka County, Minnesota",364646,27609,7.57145286113107,0500000US27003
364,"Blue Earth County, Minnesota",66000,11670,17.681818181818183,0500000US27013
365,"Carver County, Minnesota",108916,5268,4.836754930405083,0500000US27019
366,"Clay County, Minnesota",63343,6900,10.893074214988237,0500000US27027
367,"Crow Wing County, Minnesota",67011,7582,11.314560296070795,0500000US27035
368,"Dakota County, Minnesota",440766,26433,5.997059664311675,0500000US27037
369,"Hennepin County, Minnesota",1236860,131879,10.66240318225183,0500000US27053
370,"Olmsted County, Minnesota",161496,15580,9.647297765888938,0500000US27109
371,"Ramsey County, Minnesota",520835,71902,13.805139823552565,0500000US27123
372,"Rice County, Minnesota",60797,7434,12.227577018602892,0500000US27131
373,"St. Louis County, Minnesota",194305,28499,14.667147011142276,0500000US27137
374,"Scott County, Minnesota",152961,6309,4.1245807754917925,0500000US27139
375,"Sherburne County, Minnesota",99202,6196,6.245841817705288,0500000US27141
376,"Stearns County, Minnesota",154046,17397,11.293379899510537,0500000US27145
377,"Washington County, Minnesota",272154,17035,6.259323765221161,0500000US27163
378,"Wright County, Minnesota",147113,7466,5.075010366181099,0500000US27171
379,"DeSoto County, Mississippi",190690,19519,10.23598510671771,0500000US28033
380,"Forrest County, Mississippi",73132,16094,22.006782256741236,0500000US28035
381,"Harrison County, Mississippi",205961,40157,19.497380572050048,0500000US28047
382,"Hinds County, Mississippi",208866,45717,21.888196259802935,0500000US28049
383,"Jackson County, Mississippi",143727,22534,15.678334620495802,0500000US28059
384,"Jones County, Mississippi",65053,9914,15.239881327532935,0500000US28067
385,"Lamar County, Mississippi",65136,11856,18.201915991156962,0500000US28073
386,"Lauderdale County, Mississippi",67718,16711,24.677338373844474,0500000US28075
