,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total % Change,CAGR
145,"Cherokee County, Georgia",215129,218286,221315,225106,230985,235900,241689,247573,254149,258773,266620,274615,281278,0.3074852762760949,0.02259359274542705
146,"Clarke County, Georgia",116668,117344,120266,121265,120938,123912,124707,127064,127330,128331,128671,128711,129875,0.11320156341070398,0.008976730932315657
147,"Clayton County, Georgia",259623,261532,265888,264220,267542,273955,279462,285153,289615,292256,297595,297100,296564,0.1422870855047511,0.011147716840534283
148,"Cobb County, Georgia",690063,697553,707442,717190,730981,741334,748150,755754,756865,760141,766149,766802,771952,0.1186688751606737,0.009388756613963656
149,"Columbia County, Georgia",124815,128112,131627,135416,139257,144052,147450,151579,154291,156714,156010,159639,162419,0.301277891279093,0.02218813971331457
150,"Coweta County, Georgia",127955,129629,130929,133180,135571,138427,140526,143114,145864,148509,146158,149956,152882,0.19481067562815046,0.014942856471739985
151,"DeKalb County, Georgia",692902,699893,707089,713340,722161,734871,740321,753253,756558,759297,764382,757718,762820,0.100906044433412,0.008043301395888047
152,"Dougherty County, Georgia",94577,94788,94501,92969,92407,91332,90017,89502,91243,87956,85790,84844,82966,-0.12276769193355674,-0.010855930440865524
153,"Douglas County, Georgia",132722,133355,133971,136379,138776,140733,142224,143882,145331,146343,144237,145814,147316,0.10995916276126039,0.008731501133606656
154,"Fayette County, Georgia",106945,107784,107524,108365,109664,110714,111627,112549,113459,114421,119194,120574,122030,0.14105381270746653,0.01105669780135976
155,"Floyd County, Georgia",96274,95989,96177,95821,96063,96504,96560,97613,97927,98498,98584,98771,99443,0.03291646758210942,0.002702505448452852
156,"Forsyth County, Georgia",176738,181840,187928,195405,204302,212438,221009,227967,236612,244252,251283,260206,267237,0.5120517376002898,0.03505609632538009
157,"Fulton County, Georgia",926197,949599,977773,984293,996319,1010562,1023336,1041423,1050114,1063937,1066710,1065334,1074634,0.1602650408066535,0.012464413148106868
158,"Glynn County, Georgia",79816,80386,81022,81508,82175,83579,84502,85282,85219,85292,84499,84739,85079,0.0659391600681567,0.005335537803617285
159,"Gwinnett County, Georgia",808719,824941,842046,859304,877922,895823,907135,920260,927781,936250,957062,964546,975353,0.20604684692705377,0.015734837657711997
160,"Hall County, Georgia",180253,183052,185416,187745,190761,193535,196637,199335,202148,204441,203136,207369,212692,0.17996371766350627,0.01388583241340835
161,"Henry County, Georgia",205265,207360,209053,211128,213869,217739,221768,225813,230220,234561,240712,245235,248364,0.20996760285484628,0.016009600811411007
162,"Houston County, Georgia",140713,143925,146136,147658,149111,150033,152122,153479,155469,157863,163633,166829,169631,0.20551050720260378,0.015697187792548473
163,"Lowndes County, Georgia",109734,111885,114552,112916,113523,112865,114628,115489,116321,117406,118251,119276,119739,0.09117502323801197,0.007297759682154625
164,"Muscogee County, Georgia",190417,194107,198413,202824,200887,200579,197485,194058,194160,195769,206922,205617,202616,0.06406465809250217,0.0051880916093318685
165,"Newton County, Georgia",100086,100814,101505,102446,103675,105473,106999,108078,109541,111744,112483,115355,117621,0.17519932857742337,0.013544048649622109
166,"Paulding County, Georgia",142741,143542,144800,146950,148987,152238,155825,159445,164044,168667,168661,173780,178421,0.2499632200979396,0.018766767072231128
167,"Richmond County, Georgia",201005,201217,202587,202003,201368,201793,201647,201800,201554,202518,206607,205673,206640,0.02803412850426601,0.002306686769181887
168,"Rockdale County, Georgia",85434,85765,85820,86919,87754,88856,89355,90312,90594,90896,93570,94082,94984,0.11178219444249371,0.008869461660345745
169,"Troup County, Georgia",67187,67764,68468,69053,69469,69763,70005,69786,70034,69922,69426,69720,70191,0.044711030407668106,0.003651677959775057
170,"Walker County, Georgia",68761,68848,68094,68198,68218,68066,67896,68939,69410,69761,67654,68510,68915,0.002239641657334923,0.00018644549533086696
171,"Walton County, Georgia",84004,84580,84575,85754,87615,88399,90184,91600,93503,94593,96673,99853,103065,0.22690586162563697,0.017187317765429144
172,"Whitfield County, Georgia",102934,103184,103359,102945,103542,104216,104589,104658,104062,104628,102864,102848,103132,0.0019235626712261755,0.0001601557396935238
173,"Hawaii County, Hawaii",185406,186738,189191,190821,194190,196428,198449,200381,200983,201513,200629,202906,206315,0.11277412812961818,0.008944440570948897
174,"Honolulu County, Hawaii",955775,963607,976372,983429,991788,998714,992605,988650,980080,974563,1016508,1000890,995638,0.041707514843974725,0.003410904607874743
175,"Kauai County, Hawaii",67226,67701,68434,69512,70475,71735,72029,72159,72133,72293,73298,73454,73810,0.09793829768244433,0.00781656997624447
176,"Maui County, Hawaii",155170,156693,158226,160195,163046,164593,165379,166271,167218,167488,164754,164268,164365,0.059257588451375964,0.004808881943949572
177,"Ada County, Idaho",393531,400842,409061,416464,426236,434211,444028,456849,469966,481587,494967,511931,518907,0.31859243617402444,0.023314705105618394
178,"Bannock County, Idaho",83071,83691,83800,83249,83347,83744,84377,85269,87138,87808,87018,88263,89517,0.07759627306761696,0.006247173326250799
179,"Bonneville County, Idaho",104592,105772,106684,107517,108623,110089,112232,114595,116854,119062,123964,127930,129496,0.23810616490744985,0.01795791575068284
180,"Canyon County, Idaho",189428,191694,193888,198871,203143,207478,211698,216699,223499,229849,231105,243115,251065,0.3253848427898727,0.023752951000601374
181,"Kootenai County, Idaho",138901,141132,142357,144265,147326,150346,154311,157637,161505,165697,171362,179789,183578,0.3216463524380675,0.023511999133121186
182,"Twin Falls County, Idaho",77517,78005,78595,79957,80914,82375,83514,85124,86081,86878,90046,92243,93696,0.20871550756608226,0.015921943877736044
183,"Champaign County, Illinois",201332,201685,203276,204897,207133,208861,208419,209399,209983,209689,205865,205943,206542,0.025877654818906137,0.0021313092527783795
184,"Cook County, Illinois",5200950,5217080,5231351,5240700,5246456,5238216,5203499,5211263,5180493,5150233,5275541,5173146,5109292,-0.017623318816754607,-0.0014806076882672992
185,"DeKalb County, Illinois",105201,104743,104704,104741,105462,104352,104528,104733,104143,104897,100420,100414,100232,-0.04723339131757298,-0.004023990881653616
186,"DuPage County, Illinois",918764,923222,927987,932126,932708,933736,929368,930128,928589,922921,932877,924885,920901,0.002325950951495681,0.0001936229187295968
187,"Kane County, Illinois",516499,520271,522487,523643,527306,530847,531715,534667,534216,532403,516522,515588,514182,-0.004485971899267915,-0.0003746018245953664
188,"Kankakee County, Illinois",113502,113698,113040,112120,111375,110879,110008,109605,110024,109862,107502,106601,106074,-0.06544378072633084,-0.005624414601206329
189,"Kendall County, Illinois",115304,116631,118105,119348,121350,123355,124695,126218,127915,128990,131869,134867,137254,0.1903663359467147,0.014627711748885774
