,GeoName,Income,Year,GeoFips
602,"Erie, NY",39247,2010,36029
603,"Sterling, TX",39196,2010,48431
604,"Florence, WI",39188,2010,55037
605,"Big Stone, MN",39185,2010,27011
606,"Miner, SD",39173,2010,46097
607,"Washington, IA",39172,2010,19183
608,"Hampden, MA",39156,2010,25013
609,"Summit, OH",39149,2010,39153
610,"Wabaunsee, KS",39148,2010,20197
611,"Sangamon, IL",39143,2010,17167
612,"Gilliam, OR",39139,2010,41021
613,"Porter, IN",39137,2010,18127
614,"Elbert, CO",39126,2010,08039
615,"Jefferson, KY",39109,2010,21111
616,"Calhoun, IA",39096,2010,19025
617,"Kent, MI",39094,2010,26081
618,"Upton, TX",39086,2010,48461
619,"Gage, NE",39086,2010,31067
620,"Hamilton, IA",39059,2010,19079
621,"Kendall, IL",39051,2010,17093
622,"Macon, IL",39050,2010,17115
623,"Ottawa, OH",39028,2010,39123
624,"Hancock, IN",39005,2010,18059
625,"Barber, KS",39001,2010,20007
626,"Rock, NE",38983,2010,31149
627,"Wrangell City and Borough, AK*",38983,2010,02275
628,"Rock, MN",38976,2010,27133
629,"Northwest Arctic Borough, AK",38948,2010,02188
630,"Carson, TX",38935,2010,48065
631,"Jones, SD",38877,2010,46075
632,"Marshall, SD",38873,2010,46091
633,"Cerro Gordo, IA",38864,2010,19033
634,"Franklin, OH",38855,2010,39049
635,"Weston, WY",38846,2010,56045
636,"Yuma, CO",38841,2010,08125
637,"Nemaha, NE",38837,2010,31127
638,"Treasure, MT",38834,2010,30103
639,"Guthrie, IA",38832,2010,19077
640,"Sullivan, NH",38832,2010,33019
641,"Beadle, SD",38810,2010,46005
642,"Uinta, WY",38799,2010,56041
643,"Terrebonne, LA",38799,2010,22109
644,"Hampshire, MA",38796,2010,25015
645,"Nemaha, KS",38786,2010,20131
646,"Anoka, MN",38775,2010,27003
647,"Greene, IA",38773,2010,19073
648,"Sheboygan, WI",38771,2010,55117
649,"West Baton Rouge, LA",38770,2010,22121
650,"Storey, NV",38769,2010,32029
651,"Floyd, IN",38760,2010,18043
652,"Sherman, KS",38755,2010,20181
653,"Effingham, IL",38744,2010,17049
654,"Rensselaer, NY",38744,2010,36083
655,"Oneida, WI",38741,2010,55085
656,"Hot Springs, WY",38739,2010,56017
657,"Houston, MN",38739,2010,27055
658,"Lancaster, NE",38732,2010,31109
659,"Outagamie, WI",38725,2010,55087
660,"Platte, WY",38722,2010,56031
661,"Teller, CO",38720,2010,08119
662,"Frederick + Winchester, VA*",38718,2010,51921
663,"Greene, OH",38707,2010,39057
664,"Esmeralda, NV",38659,2010,32009
665,"Chickasaw, IA",38658,2010,19037
666,"Jerauld, SD",38653,2010,46073
667,"Lavaca, TX",38628,2010,48285
668,"Montgomery, TN",38623,2010,47125
669,"Atlantic, NJ",38606,2010,34001
670,"Green, WI",38580,2010,55045
671,"Ouray, CO",38579,2010,08091
672,"Hancock, IA",38546,2010,19081
673,"Roger Mills, OK",38534,2010,40129
674,"Greene, GA",38531,2010,13133
